ml_threshold,abstain_threshold,disagreement_margin,weighted_coverage,weighted_abstain_rate,weighted_accuracy_covered,weighted_f1_macro_covered,weighted_risk_at_coverage,weighted_strict_accuracy
0.85,0.35,0.2,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.85,0.4,0.2,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.85,0.45,0.2,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.9,0.35,0.15,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.9,0.35,0.2,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.9,0.4,0.15,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.9,0.4,0.2,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.9,0.45,0.15,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.9,0.45,0.2,1.0,0.0,0.9631901840490797,0.9436291087972253,0.03680981595092025,0.9631901840490797
0.8,0.35,0.2,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.8,0.4,0.2,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.8,0.45,0.2,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.85,0.35,0.15,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.85,0.4,0.15,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.85,0.45,0.15,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.9,0.35,0.1,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.9,0.4,0.1,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.9,0.45,0.1,1.0,0.0,0.8895705521472392,0.7441987845202753,0.11042944785276075,0.8895705521472392
0.6,0.35,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.6,0.4,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
