category,fold,algorithm,accuracy,balanced_accuracy,f1_macro,mcc,fit_time_s,support
LV_FUNCTION,29,SVM (RBF),0.875,0.5355555555555555,0.4442361761949391,0.5028265416319999,0.0018090409866999835,56
LV_FUNCTION,29,Logistic Regression,0.9285714285714286,0.66,0.62996632996633,0.667639466451234,0.013156208005966619,56
LV_FUNCTION,29,K-Nearest Neighbors,0.8214285714285714,0.41111111111111115,0.3763955342902711,0.36582611592487335,0.0004285000031813979,56
LV_FUNCTION,30,Random Forest,0.9464285714285714,0.75,0.7267973856209151,0.7021605816093461,0.07395724998787045,56
LV_FUNCTION,30,Gradient Boosting,0.9642857142857143,0.8333333333333334,0.818921892189219,0.8112079984067628,0.10901166699477471,56
LV_FUNCTION,30,Decision Tree,0.9642857142857143,0.8333333333333334,0.818921892189219,0.8112079984067628,0.0008887920121196657,56
LV_FUNCTION,30,SVM (RBF),0.9642857142857143,0.8333333333333334,0.8823529411764706,0.8061649860962985,0.002021625026827678,56
LV_FUNCTION,30,Logistic Regression,0.9464285714285714,0.75,0.7267973856209151,0.7021605816093461,0.013214957987656817,56
LV_FUNCTION,30,K-Nearest Neighbors,0.9285714285714286,0.66,0.7123212321232123,0.608980247861549,0.0004281250003259629,56
LV_FUNCTION,31,Random Forest,0.9649122807017544,0.8333333333333334,0.8189859762675297,0.8114041127951048,0.07561449997592717,57
LV_FUNCTION,31,Gradient Boosting,0.9649122807017544,0.75,0.75,0.8184713375796179,0.12434208299964666,57
LV_FUNCTION,31,Decision Tree,0.9824561403508771,0.9166666666666666,0.8857142857142857,0.9109709445829934,0.0009161669877357781,57
LV_FUNCTION,31,SVM (RBF),0.9298245614035088,0.7369281045751634,0.7456545654565456,0.6654879441595137,0.0019996670016553253,57
LV_FUNCTION,31,Logistic Regression,0.8771929824561403,0.6405228758169934,0.6043771043771043,0.4943556191863611,0.013298624980961904,57
LV_FUNCTION,31,K-Nearest Neighbors,0.9122807017543859,0.5702614379084968,0.5052505250525052,0.582181583197525,0.0004153340123593807,57
LV_FUNCTION,32,Random Forest,1.0,1.0,1.0,1.0,0.06386416600435041,57
LV_FUNCTION,32,Gradient Boosting,1.0,1.0,1.0,1.0,0.10685812498559244,57
LV_FUNCTION,32,Decision Tree,1.0,1.0,1.0,1.0,0.0008797909831628203,57
LV_FUNCTION,32,SVM (RBF),0.8947368421052632,0.49333333333333335,0.4632996632996633,0.5582810820129583,0.0017612499941606075,57
LV_FUNCTION,32,Logistic Regression,0.8947368421052632,0.5977777777777777,0.5709750566893425,0.5872023755352614,0.013188415992772207,57
LV_FUNCTION,32,K-Nearest Neighbors,0.8421052631578947,0.47333333333333333,0.4406565656565657,0.45033974387017744,0.00044470798457041383,57
LV_FUNCTION,33,Random Forest,0.9649122807017544,0.8055555555555555,0.8466996699669966,0.8349477330106516,0.07528799999272451,57
LV_FUNCTION,33,Gradient Boosting,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.10692083300091326,57
LV_FUNCTION,33,Decision Tree,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.0008999580168165267,57
LV_FUNCTION,33,SVM (RBF),0.9298245614035088,0.7155555555555555,0.7155555555555555,0.6850828729281768,0.0018848750041797757,57
LV_FUNCTION,33,Logistic Regression,0.9122807017543859,0.7088888888888888,0.6936026936026937,0.6317718238377729,0.013192915997933596,57
LV_FUNCTION,33,K-Nearest Neighbors,0.9298245614035088,0.7155555555555555,0.7076190476190476,0.68646408839779,0.00042966598994098604,57
LV_FUNCTION,34,Random Forest,0.9642857142857143,0.7777777777777777,0.7824139556812825,0.8112478673610547,0.06376658301451243,56
LV_FUNCTION,34,Gradient Boosting,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.10692224997910671,56
LV_FUNCTION,34,Decision Tree,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.0009329580061603338,56
LV_FUNCTION,34,SVM (RBF),0.9285714285714286,0.7644444444444444,0.712121212121212,0.6714545801719783,0.0019464170036371797,56
LV_FUNCTION,34,Logistic Regression,0.9107142857142857,0.7577777777777778,0.6933944253531883,0.6487942366441122,0.013244208006653935,56
LV_FUNCTION,34,K-Nearest Neighbors,0.875,0.8488888888888888,0.7009456264775413,0.6133494573080513,0.0004409169778227806,56
LV_FUNCTION,35,Random Forest,1.0,1.0,1.0,1.0,0.07605699999839999,56
LV_FUNCTION,35,Gradient Boosting,1.0,1.0,1.0,1.0,0.10669766599312425,56
LV_FUNCTION,35,Decision Tree,1.0,1.0,1.0,1.0,0.0008665829955134541,56
LV_FUNCTION,35,SVM (RBF),0.9285714285714286,0.7366666666666667,0.6931972789115646,0.6929348671835832,0.0019875419966410846,56
LV_FUNCTION,35,Logistic Regression,0.9642857142857143,0.8266666666666667,0.818855218855219,0.8357232626807796,0.013188999990234151,56
LV_FUNCTION,35,K-Nearest Neighbors,0.9285714285714286,0.8133333333333334,0.7674684994272623,0.7245859915369519,0.00043908299994654953,56
LV_FUNCTION,36,Random Forest,0.9824561403508771,0.9166666666666666,0.8857142857142857,0.9109709445829934,0.07461329101352021,57
LV_FUNCTION,36,Gradient Boosting,0.9824561403508771,0.9166666666666666,0.8857142857142857,0.9109709445829934,0.10631937498692423,57
LV_FUNCTION,36,Decision Tree,0.9824561403508771,0.9166666666666666,0.8857142857142857,0.9109709445829934,0.0008916249789763242,57
LV_FUNCTION,36,SVM (RBF),0.8947368421052632,0.80718954248366,0.6752834467120182,0.6068335763204816,0.0018906670156866312,57
LV_FUNCTION,36,Logistic Regression,0.8947368421052632,0.7303921568627452,0.597041847041847,0.5746770573079769,0.9138181250018533,57
LV_FUNCTION,36,K-Nearest Neighbors,0.8421052631578947,0.6274509803921569,0.548397435897436,0.47280988370464927,0.00047300002188421786,57
LV_FUNCTION,37,Random Forest,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.07419266700162552,57
LV_FUNCTION,37,Gradient Boosting,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.10632512500160374,57
